latitude,longitude
10.007183,76.373544
10.007187,76.373581
10.007186,76.373571
10.00716,76.373297
10.007161,76.37333
10.007163,76.373375
10.007162,76.373344
10.007161,76.373341
10.007161,76.373339
10.007161,76.373338
10.007161,76.373337
10.007161,76.373337
10.007161,76.373337
10.007162,76.373349
10.007162,76.373357
10.007162,76.373367
10.007163,76.373373
10.008011,76.483316
10.007163,76.373379
10.007163,76.373381
10.007163,76.373382
10.007163,76.373384
10.007177,76.373499
10.007177,76.373504
10.007178,76.373509
10.007178,76.373513
10.007181,76.373536
10.007182,76.373539
10.007183,76.373545
10.007184,76.373554
10.005719,76.567466
10.007184,76.373559
10.007185,76.373563
10.007186,76.373574
10.007187,76.373576
10.007187,76.373579
10.007206,76.373621
10.007209,76.373625
10.007212,76.37363
10.007219,76.373639
10.007228,76.373651
10.007233,76.373657
10.007234,76.373659
10.007235,76.37366
10.007236,76.373662
10.007238,76.373664
10.007242,76.37367
10.007244,76.373673
10.007245,76.373673
10.007236,76.373662
10.00724,76.373666
10.007241,76.373668
10.007243,76.37367
10.007243,76.37367
10.007234,76.373659
10.007245,76.473492
10.007225,76.373646
10.00722,76.37364
10.007217,76.373636
10.007208,76.373624
10.007205,76.373621
10.007203,76.373617
10.0072,76.373614
10.007198,76.37361
10.007198,76.37361
10.007199,76.373611
10.0072,76.373613
10.007201,76.373615
10.007202,76.373615
10.007202,76.373617
10.007203,76.373618
10.007204,76.373619
10.007205,76.37362
10.007205,76.37362
10.007219,76.373638
10.007223,76.373644
10.007222,76.373642
10.007221,76.373641
10.007216,76.373635
10.007214,76.373632
10.007214,76.373632
12.008077,75.373922
10.007212,76.37363
10.007212,76.373629
10.007209,76.373626
10.007208,76.373624
10.007206,76.373621
10.007202,76.373616
10.007206,76.373622
10.0072,76.373613
10.007199,76.373613
10.007201,76.373615
10.007202,76.373616
10.007203,76.373617
10.007186,76.373568
10.007185,76.37356
10.007185,76.373563
10.007185,76.373566
10.007204,76.373618
10.007203,76.373617
10.007213,76.37363
10.007214,76.373632
10.007228,76.37365
10.007228,76.373651
10.007231,76.373655
10.007231,76.373654
10.007235,76.37366
10.007239,76.373666
10.007229,76.373652
10.007217,76.373635
10.007185,76.373565
10.007216,76.373635
10.007287,76.373729
10.007313,76.373774
10.007285,76.373727
10.006842,76.37391
10.006839,76.373897
10.006878,76.373985
10.006901,76.374014
10.006716,76.374045
10.006669,76.37408
10.006283,76.374113
10.006062,76.373982
10.005771,76.373963
10.005496,76.374023
10.005328,76.374074
10.005103,76.374153
10.005099,76.374155
10.005113,76.373996
10.00507,76.373834
10.00503,76.373684
10.004968,76.373468
10.004887,76.373297
10.004785,76.373082
10.00475,76.373008
10.004579,76.372763
10.0043,76.372398
10.004053,76.372076
10.003849,76.371692
10.00371,76.371293
10.003666,76.370988
10.003626,76.370685
10.00353,76.37057
10.003619,76.370596
10.003618,76.370584
10.003615,76.370556
10.003615,76.370555
10.003585,76.370519
10.003566,76.370537
10.003562,76.37054
10.003562,76.37054
10.003618,76.370488
10.003828,76.370279
10.004113,76.370011
10.004345,76.369774
10.004519,76.369603
10.004722,76.369402
10.004925,76.369198
10.005116,76.369004
10.005293,76.368822
10.005548,76.368561
10.00579,76.368322
10.006051,76.368046
10.006205,76.367744
10.006366,76.367522
10.006508,76.367328
10.006673,76.367186
10.006805,76.366993
10.007109,76.366918
10.007344,76.366825
10.007613,76.366718
10.007919,76.366605
10.008275,76.366647
10.008607,76.366698
10.008931,76.36675
10.009245,76.366672
10.009563,76.366556
10.009949,76.366416
10.010346,76.366245
10.010737,76.365909
10.010939,76.36587
10.011194,76.36575
10.011443,76.365632
10.011756,76.365468
10.012103,76.365284
10.012402,76.365121
10.012773,76.364916
10.01315,76.364683
10.0135,76.364485
10.013857,76.364376
10.014218,76.364284
10.014562,76.364182
10.014964,76.36404
10.015207,76.363855
10.015257,76.363633
10.01516,76.363438
10.014983,76.363161
10.014888,76.363012
10.014793,76.362757
10.015023,76.362553
10.015329,76.362436
10.015594,76.362275
10.015856,76.362077
10.016,76.361826
10.016072,76.361575
10.016149,76.361308
10.016223,76.360967
10.016335,76.360665
10.016283,76.36039
10.016245,76.360128
10.016208,76.359872
10.016181,76.359603
10.016153,76.359333
10.016132,76.35912
10.016112,76.358926
10.01611,76.358914
10.016095,76.358756
10.016068,76.358494
10.016033,76.358297
10.01597,76.358019
10.015916,76.357814
10.015851,76.357575
10.015825,76.357475
10.015778,76.357288
10.015704,76.356988
10.015655,76.356789
10.015639,76.356725
10.015594,76.356541
10.015589,76.35651
10.015562,76.356339
10.015552,76.356279
10.015513,76.356052
10.015482,76.355759
10.015461,76.355488
10.015447,76.355272
10.015451,76.355205
10.015411,76.35511
10.015464,76.354972
10.015468,76.354895
10.015475,76.35477
10.015477,76.354734
10.015494,76.354429
10.01559,76.354145
10.015735,76.353936
10.015919,76.353674
10.01601,76.353292
10.016111,76.35288
10.01625,76.352594
10.016264,76.352569
10.016444,76.352405
10.016663,76.352194
10.016932,76.351955
10.017204,76.351713
10.017363,76.351556
10.017426,76.351482
10.01739,76.351525
10.017486,76.351407
10.017625,76.351175
10.017671,76.351044
10.017697,76.350964
10.01778,76.350699
10.017803,76.350624
10.017853,76.350455
10.017856,76.350445
10.017893,76.350309
10.017916,76.35021
10.017619,76.452221
10.01798,76.349944
10.017991,76.349898
10.017993,76.349889
10.017997,76.349872
10.017996,76.349875
10.017995,76.349879
10.017985,76.349922
10.017987,76.349912
10.017988,76.34991
10.017988,76.34991
10.01799,76.349899
10.017992,76.349893
10.017992,76.349893
10.017993,76.349889
10.017993,76.349888
10.017994,76.349885
10.017994,76.349883
10.017994,76.349883
10.017994,76.349883
10.017994,76.349883
10.017995,76.34988
10.017996,76.349877
10.017996,76.349877
10.017996,76.349876
10.017996,76.349876
10.017997,76.349871
10.017998,76.349868
10.017998,76.349868
10.017998,76.349867
10.017998,76.349867
10.017998,76.349866
10.017999,76.349865
10.017999,76.349863
