latitude_longitude right distance added,latitude_longitude left distance added
10.0069921 76.37379820368719,10.0069921 76.37334159631283
10.0069916 76.37383650368683,10.0069916 76.37337989631318
10.0069913 76.37382620368662,10.0069913 76.37336959631337
10.0070376 76.37353000371917,10.0070376 76.37307339628083
10.0070513 76.3735636037288,10.0070513 76.37310699627119
10.0070688 76.37360730374111,10.0070688 76.37315069625889
10.0070527 76.3735765037298,10.0070527 76.3731198962702
10.0070499 76.37357450372782,10.0070499 76.37311789627218
10.0070452 76.37357190372451,10.0070452 76.37311529627549
10.0070434 76.37357090372325,10.0070434 76.37311429627675
10.0070427 76.37357040372277,10.0070427 76.37311379627724
10.0070423 76.37357020372248,10.0070423 76.37311359627752
10.0070422 76.37357020372241,10.0070422 76.37311359627759
10.0070571 76.37358130373288,10.0070571 76.37312469626711
10.0070677 76.37358910374034,10.0070677 76.37313249625966
10.0070813 76.3735985037499,10.0070813 76.37314189625009
10.0070924 76.3736045037577,10.0070924 76.37314789624229
10.0080234 76.48353750441233,10.0080234 76.48308089558766
10.0071039 76.3736091037658,10.0071039 76.37315249623421
10.0071086 76.3736108037691,10.0071086 76.37315419623091
10.0071138 76.37361260377276,10.0071138 76.37315599622724
10.0071176 76.37361390377544,10.0071176 76.37315729622458
10.0071905 76.37372480382668,10.0071905 76.37326819617333
10.0071925 76.37373060382808,10.0071925 76.37327399617192
10.0071939 76.37373490382907,10.0071939 76.37327829617092
10.0071955 76.3737392038302,10.0071955 76.3732825961698
10.0072086 76.3737601038394,10.0072086 76.37330349616059
10.0072114 76.37376360384138,10.0072114 76.37330699615862
10.0072157 76.3737684038444,10.0072157 76.3733117961556
10.0072236 76.37377580384995,10.0072236 76.37331919615005
10.0064398 76.56765810329887,10.0064398 76.56720149670113
10.0072328 76.37378020385641,10.0072328 76.37332359614358
10.0072387 76.37378400386056,10.0072387 76.37332739613943
10.0072564 76.37379260387301,10.0072564 76.37333599612698
10.0072603 76.37379430387575,10.0072603 76.37333769612424
10.0072651 76.37379670387912,10.0072651 76.37334009612087
10.0072696 76.3737993038823,10.0072696 76.3733426961177
10.0072746 76.37380270388581,10.0072746 76.37334609611418
10.0072791 76.37380650388897,10.0072791 76.37334989611102
10.0072878 76.37381470389509,10.0072878 76.3733580961049
10.0073008 76.37382270390424,10.0073008 76.37336609609576
10.0073072 76.37382830390874,10.0073072 76.37337169609125
10.0073071 76.37382990390867,10.0073071 76.37337329609133
10.0073069 76.37383210390853,10.0073069 76.37337549609147
10.0073072 76.37383520390874,10.0073072 76.37337859609126
10.0073076 76.37383870390902,10.0073076 76.37338209609099
10.007309 76.37384590391001,10.007309 76.37338929609
